Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/06 23:02:29	Plate Inspection (Scheduled)	10832	104621	96 Well NUNC Hanging 3 Drop	Visible		190822_Her2_fab	Litcitph_peg3350_optimization	susannaelledge	Wells	35.7 minutes
2019/10/06 23:02:03	Plate Move - Storage to Stage	10832		96 Well NUNC Hanging 3 Drop	Plate Movement		190822_Her2_fab	Litcitph_peg3350_optimization	susannaelledge	Wells	0 minute
2019/10/06 19:09:51	Plate Move - Imager to Stage	10855		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNH4SO4	cbillesboelle	Manglik	0 minute
2019/10/06 18:59:20	Plate Inspection (Scheduled)	10855	104617	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNH4SO4	cbillesboelle	Manglik	10.2 minutes
2019/10/06 18:50:26	Plate Inspection (Scheduled)	10855	104617	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNH4SO4	cbillesboelle	Manglik	8.9 minutes
2019/10/06 18:49:56	Plate Move - Imager to Stage	10854		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNaCl	cbillesboelle	Manglik	0 minute
2019/10/06 18:49:01	Plate Move - Storage to Stage	10855		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNH4SO4	cbillesboelle	Manglik	0 minute
2019/10/06 18:36:38	Plate Inspection (Scheduled)	10854	104615	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNaCl	cbillesboelle	Manglik	13.1 minutes
2019/10/06 18:25:14	Plate Inspection (Scheduled)	10854	104615	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNaCl	cbillesboelle	Manglik	11.4 minutes
2019/10/06 18:24:46	Plate Move - Storage to Stage	10854		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNaCl	cbillesboelle	Manglik	0 minute
