Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/11 09:54:10	Plate Inspection (Scheduled)	10645	104980	96 Well Greiner Hanging, 1 Drop	Visible		Trek-1_I110D-N147E	Tray-2_DE_1to2_9mgml	abhisek	Minor	4.8 minutes
2019/10/11 09:53:35	Plate Move - Storage to Stage	10645		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D-N147E	Tray-2_DE_1to2_9mgml	abhisek	Minor	0 minute
2019/10/11 09:41:03	Plate Move - Imager to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 09:29:46	Plate Inspection (Scheduled)	10887	104977	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	11 minutes
2019/10/11 09:29:13	Plate Move - Imager to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 09:28:14	Plate Move - Storage to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 09:17:06	Plate Inspection (Scheduled)	10888	104975	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	11.9 minutes
2019/10/11 09:16:33	Plate Move - Imager to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 09:16:17	Plate Move - Storage to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 09:11:25	Plate Inspection (Scheduled)	10890	104974	96 Well MRC, 2 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	4.9 minutes
2019/10/11 09:10:53	Plate Move - Storage to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/11 07:00:51	Plate Move - Imager to Stage	10858		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	0 minute
2019/10/11 06:51:26	Plate Inspection (Scheduled)	10858	104955	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	9.2 minutes
2019/10/11 06:50:53	Plate Move - Imager to Stage	10857		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MGor_4C	cbillesboelle	Manglik	0 minute
2019/10/11 06:50:08	Plate Move - Storage to Stage	10858		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	0 minute
2019/10/11 06:40:05	Plate Inspection (Scheduled)	10857	104953	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MGor_4C	cbillesboelle	Manglik	10.6 minutes
2019/10/11 06:39:32	Plate Move - Imager to Stage	10856		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MSMSor4C	cbillesboelle	Manglik	0 minute
2019/10/11 06:38:46	Plate Move - Storage to Stage	10857		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MGor_4C	cbillesboelle	Manglik	0 minute
2019/10/11 06:28:51	Plate Inspection (Scheduled)	10856	104950	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MSMSor4C	cbillesboelle	Manglik	10.5 minutes
2019/10/11 06:28:20	Plate Move - Storage to Stage	10856		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MSMSor4C	cbillesboelle	Manglik	0 minute
2019/10/11 06:15:52	Plate Move - Imager to Stage	10810		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	0 minute
2019/10/11 06:11:38	Plate Inspection (Scheduled)	10810	104947	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	4 minutes
2019/10/11 06:11:05	Plate Move - Imager to Stage	10809		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	0 minute
