Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/12/01 13:22:12	Plate Move - Imager to Stage	11276		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	0 minute
2019/12/01 13:16:22	Plate Inspection (Scheduled)	11276	109371	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	5.6 minutes
2019/12/01 13:15:52	Plate Move - Imager to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 13:15:18	Plate Move - Storage to Stage	11276		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	0 minute
2019/12/01 13:08:10	Plate Inspection (Scheduled)	11278	109367	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	7.5 minutes
2019/12/01 13:07:40	Plate Move - Imager to Stage	11281		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt3_20	rashed	Minor	0 minute
2019/12/01 13:07:07	Plate Move - Storage to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 13:01:44	Plate Inspection (Scheduled)	11281	109368	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt3_20	rashed	Minor	5.8 minutes
2019/12/01 13:01:14	Plate Move - Imager to Stage	11283		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_20	rashed	Minor	0 minute
2019/12/01 13:00:37	Plate Move - Storage to Stage	11281		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt3_20	rashed	Minor	0 minute
2019/12/01 12:54:02	Plate Inspection (Scheduled)	11283	109366	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_20	rashed	Minor	7 minutes
2019/12/01 12:53:32	Plate Move - Storage to Stage	11283		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_20	rashed	Minor	0 minute
2019/12/01 05:45:43	Plate Move - Imager to Stage	11037		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	MemGold	hkratochvil	DeGrado	0 minute
2019/12/01 05:04:45	Plate Inspection (Scheduled)	11037	109358	96 Well Laminex LCP	Ultraviolet	UV 1000ms (default), UV 500ms	20191102_MM_highConcScreens	MemGold	hkratochvil	DeGrado	40.7 minutes
2019/12/01 04:58:25	Plate Inspection (Scheduled)	11037	109358	96 Well Laminex LCP	Visible	Visible (Default)	20191102_MM_highConcScreens	MemGold	hkratochvil	DeGrado	6.3 minutes
2019/12/01 04:57:55	Plate Move - Imager to Stage	11038		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	MemGold 2	hkratochvil	DeGrado	0 minute
2019/12/01 04:57:22	Plate Move - Storage to Stage	11037		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	MemGold	hkratochvil	DeGrado	0 minute
2019/12/01 04:52:26	Plate Inspection (Scheduled)	11038	109356	96 Well Laminex LCP	Visible	Visible (Default)	20191102_MM_highConcScreens	MemGold 2	hkratochvil	DeGrado	5.3 minutes
2019/12/01 04:51:56	Plate Move - Imager to Stage	11039		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	PEG Ion Screen HT	hkratochvil	DeGrado	0 minute
2019/12/01 04:47:34	Plate Move - Storage to Stage	11038		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	MemGold 2	hkratochvil	DeGrado	0 minute
2019/12/01 04:10:49	Plate Inspection (Scheduled)	11039	109353	96 Well Laminex LCP	Ultraviolet	UV 1000ms (default), UV 500ms	20191102_MM_highConcScreens	PEG Ion Screen HT	hkratochvil	DeGrado	40.9 minutes
2019/12/01 04:06:00	Plate Inspection (Scheduled)	11039	109353	96 Well Laminex LCP	Visible	Visible (Default)	20191102_MM_highConcScreens	PEG Ion Screen HT	hkratochvil	DeGrado	4.8 minutes
2019/12/01 04:05:29	Plate Move - Imager to Stage	11268		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	Buffer Screen High Conc	hkratochvil	DeGrado	0 minute
2019/12/01 04:04:50	Plate Move - Storage to Stage	11039		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	PEG Ion Screen HT	hkratochvil	DeGrado	0 minute
2019/12/01 03:59:54	Plate Inspection (Scheduled)	11268	109352	96 Well Laminex LCP	Visible	Visible (Default)	20191102_MM_highConcScreens	Buffer Screen High Conc	hkratochvil	DeGrado	5.4 minutes
2019/12/01 03:59:25	Plate Move - Imager to Stage	11267		96 Well Laminex LCP	Plate Movement		20190809_MM_mEpoR_CHAMP1	29%PEG3350,0.11MTrispH7,0.22MAmSO4_Additive	hkratochvil	DeGrado	0 minute
2019/12/01 03:58:58	Plate Move - Storage to Stage	11268		96 Well Laminex LCP	Plate Movement		20191102_MM_highConcScreens	Buffer Screen High Conc	hkratochvil	DeGrado	0 minute
2019/12/01 03:54:02	Plate Inspection (Scheduled)	11267	109350	96 Well Laminex LCP	Visible	Visible (Default)	20190809_MM_mEpoR_CHAMP1	29%PEG3350,0.11MTrispH7,0.22MAmSO4_Additive	hkratochvil	DeGrado	5.2 minutes
2019/12/01 03:52:46	Plate Move - Imager to Stage	11263		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransB6OptNaClVary (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:52:24	Plate Move - Storage to Stage	11267		96 Well Laminex LCP	Plate Movement		20190809_MM_mEpoR_CHAMP1	29%PEG3350,0.11MTrispH7,0.22MAmSO4_Additive	hkratochvil	DeGrado	0 minute
2019/12/01 03:47:18	Plate Inspection (Scheduled)	11263	109349	96 Well Laminex LCP	Visible		20191023_aQ30_50mMOG	MemTransB6OptNaClVary (1)	hkratochvil	DeGrado	5.3 minutes
2019/12/01 03:46:13	Plate Move - Imager to Stage	11265		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransB6OptMgCl2Vary (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:45:40	Plate Move - Storage to Stage	11263		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransB6OptNaClVary (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:41:00	Plate Inspection (Scheduled)	11265	109348	96 Well Laminex LCP	Visible	Visible (Default)	20191023_aQ30_50mMOG	MemTransB6OptMgCl2Vary (1)	hkratochvil	DeGrado	4.9 minutes
2019/12/01 03:40:22	Plate Move - Imager to Stage	11266		96 Well Laminex LCP	Plate Movement		191022_aQeVgL_45LCP	MG2F4Opt (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:39:44	Plate Move - Storage to Stage	11265		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransB6OptMgCl2Vary (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:34:42	Plate Inspection (Scheduled)	11266	109347	96 Well Laminex LCP	Visible	Visible (Default)	191022_aQeVgL_45LCP	MG2F4Opt (1)	hkratochvil	DeGrado	5.5 minutes
2019/12/01 03:33:35	Plate Move - Imager to Stage	11271		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core III-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:32:41	Plate Move - Storage to Stage	11266		96 Well Laminex LCP	Plate Movement		191022_aQeVgL_45LCP	MG2F4Opt (1)	hkratochvil	DeGrado	0 minute
2019/12/01 03:24:57	Plate Inspection (Scheduled)	11271	109345	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	AMCat	JCSG Core III-26-Nov-19-20C	lin	Fraser	8.4 minutes
2019/12/01 03:24:02	Plate Move - Imager to Stage	11270		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core II-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:23:13	Plate Move - Storage to Stage	11271		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core III-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:15:03	Plate Inspection (Scheduled)	11270	109344	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	AMCat	JCSG Core II-26-Nov-19-20C	lin	Fraser	8.8 minutes
2019/12/01 03:14:25	Plate Move - Imager to Stage	11269		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core I-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:13:41	Plate Move - Storage to Stage	11270		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core II-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:05:31	Plate Inspection (Scheduled)	11269	109342	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	AMCat	JCSG Core I-26-Nov-19-20C	lin	Fraser	8.7 minutes
2019/12/01 03:04:52	Plate Move - Imager to Stage	11272		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core IV-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 03:03:59	Plate Move - Storage to Stage	11269		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core I-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 02:54:39	Plate Inspection (Scheduled)	11272	109341	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	AMCat	JCSG Core IV-26-Nov-19-20C	lin	Fraser	10 minutes
2019/12/01 02:53:48	Plate Move - Imager to Stage	11276		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	0 minute
2019/12/01 02:53:03	Plate Move - Storage to Stage	11272		96 Well Greiner Hanging, 1 Drop	Plate Movement		AMCat	JCSG Core IV-26-Nov-19-20C	lin	Fraser	0 minute
2019/12/01 02:45:22	Plate Inspection (Scheduled)	11276	109339	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	8.3 minutes
2019/12/01 02:44:40	Plate Move - Imager to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 02:43:38	Plate Move - Storage to Stage	11276		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1_20	rashed	Minor	0 minute
2019/12/01 02:34:46	Plate Inspection (Scheduled)	11278	109333	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	9.3 minutes
2019/12/01 02:33:35	Plate Move - Imager to Stage	11281		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt3_20	rashed	Minor	0 minute
2019/12/01 02:32:58	Plate Move - Storage to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
