Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/12/01 13:26:11	Plate Move - Imager to Stage	11275		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	0 minute
2019/12/01 13:20:55	Plate Inspection (Scheduled)	11275	109372	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	4.9 minutes
2019/12/01 13:20:22	Plate Move - Imager to Stage	11280		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	0 minute
2019/12/01 13:19:38	Plate Move - Storage to Stage	11275		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	0 minute
2019/12/01 13:13:37	Plate Inspection (Scheduled)	11280	109370	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	6.6 minutes
2019/12/01 13:13:03	Plate Move - Imager to Stage	11282		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	0 minute
2019/12/01 13:12:29	Plate Move - Storage to Stage	11280		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	0 minute
2019/12/01 13:05:42	Plate Inspection (Scheduled)	11282	109369	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	7.2 minutes
2019/12/01 13:05:09	Plate Move - Imager to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 13:04:32	Plate Move - Storage to Stage	11282		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	0 minute
2019/12/01 12:54:05	Plate Inspection (Scheduled)	11278	109367	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	10.9 minutes
2019/12/01 12:53:31	Plate Move - Storage to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 07:15:57	Plate Move - Imager to Stage	11052		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics Lite-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:58:41	Plate Inspection (Scheduled)	11052	109365	96 Well MRC, 2 Drop	Visible		GSc006 His-WT	Classics Lite-02-Nov-19	ethompson	Fraser	17 minutes
2019/12/01 06:58:08	Plate Move - Imager to Stage	11053		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	PACT-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:57:18	Plate Move - Storage to Stage	11052		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics Lite-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:40:51	Plate Inspection (Scheduled)	11053	109364	96 Well MRC, 2 Drop	Visible		GSc006 His-WT	PACT-02-Nov-19	ethompson	Fraser	17.1 minutes
2019/12/01 06:40:17	Plate Move - Imager to Stage	11045		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core IV-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:38:58	Plate Move - Storage to Stage	11053		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	PACT-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:16:32	Plate Inspection (Scheduled)	11045	109363	96 Well MRC, 2 Drop	Visible		GSc006 His-341C	JCSG Core IV-02-Nov-19	ethompson	Fraser	23.6 minutes
2019/12/01 06:15:58	Plate Move - Imager to Stage	11050		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 06:14:38	Plate Move - Storage to Stage	11045		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core IV-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 05:53:51	Plate Inspection (Scheduled)	11050	109362	96 Well MRC, 2 Drop	Visible		GSc006 His-WT	Classics I-02-Nov-19	ethompson	Fraser	21.9 minutes
2019/12/01 05:53:17	Plate Move - Imager to Stage	11051		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 05:52:15	Plate Move - Storage to Stage	11050		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 05:34:48	Plate Inspection (Scheduled)	11051	109361	96 Well MRC, 2 Drop	Visible		GSc006 His-WT	Classics II-02-Nov-19	ethompson	Fraser	18.3 minutes
2019/12/01 05:34:14	Plate Move - Imager to Stage	11273		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D	Tray01_I110D_5.4mgml_300/150nl	abhisek	Minor	0 minute
2019/12/01 05:33:42	Plate Move - Storage to Stage	11051		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-WT	Classics II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 05:29:05	Plate Inspection (Scheduled)	11273	109360	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Trek-1_I110D	Tray01_I110D_5.4mgml_300/150nl	abhisek	Minor	5 minutes
2019/12/01 05:28:32	Plate Move - Imager to Stage	11274		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D	Tray02_I110D_5.4mgml_300/180nl	abhisek	Minor	0 minute
2019/12/01 05:27:58	Plate Move - Storage to Stage	11273		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D	Tray01_I110D_5.4mgml_300/150nl	abhisek	Minor	0 minute
2019/12/01 05:21:50	Plate Inspection (Scheduled)	11274	109359	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Trek-1_I110D	Tray02_I110D_5.4mgml_300/180nl	abhisek	Minor	6.5 minutes
2019/12/01 05:21:17	Plate Move - Storage to Stage	11274		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D	Tray02_I110D_5.4mgml_300/180nl	abhisek	Minor	0 minute
2019/12/01 05:17:34	Plate Move - Imager to Stage	11042		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:57:06	Plate Inspection (Scheduled)	11042	109357	96 Well MRC, 2 Drop	Visible		GSc006 His-341C	JCSG Core I-02-Nov-19	ethompson	Fraser	20.2 minutes
2019/12/01 04:56:33	Plate Move - Imager to Stage	11043		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:55:09	Plate Move - Storage to Stage	11042		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:35:42	Plate Inspection (Scheduled)	11043	109355	96 Well MRC, 2 Drop	Visible		GSc006 His-341C	JCSG Core II-02-Nov-19	ethompson	Fraser	20.7 minutes
2019/12/01 04:35:09	Plate Move - Imager to Stage	11044		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core III-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:34:33	Plate Move - Storage to Stage	11043		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:14:33	Plate Inspection (Scheduled)	11044	109354	96 Well MRC, 2 Drop	Visible		GSc006 His-341C	JCSG Core III-02-Nov-19	ethompson	Fraser	20.4 minutes
2019/12/01 04:14:00	Plate Move - Imager to Stage	11046		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 04:13:08	Plate Move - Storage to Stage	11044		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-341C	JCSG Core III-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:55:10	Plate Inspection (Scheduled)	11046	109351	96 Well MRC, 2 Drop	Visible		GSc006 His-324S	JCSG Core I-02-Nov-19	ethompson	Fraser	18.6 minutes
2019/12/01 03:53:48	Plate Move - Imager to Stage	11047		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:52:39	Plate Move - Storage to Stage	11046		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core I-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:34:03	Plate Inspection (Scheduled)	11047	109346	96 Well MRC, 2 Drop	Visible		GSc006 His-324S	JCSG Core II-02-Nov-19	ethompson	Fraser	19.6 minutes
2019/12/01 03:33:01	Plate Move - Imager to Stage	11048		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core III-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:32:00	Plate Move - Storage to Stage	11047		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core II-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:13:29	Plate Inspection (Scheduled)	11048	109343	96 Well MRC, 2 Drop	Visible		GSc006 His-324S	JCSG Core III-02-Nov-19	ethompson	Fraser	19.3 minutes
2019/12/01 03:12:42	Plate Move - Imager to Stage	11049		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core IV-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 03:11:36	Plate Move - Storage to Stage	11048		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core III-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 02:51:08	Plate Inspection (Scheduled)	11049	109340	96 Well MRC, 2 Drop	Visible		GSc006 His-324S	JCSG Core IV-02-Nov-19	ethompson	Fraser	21.4 minutes
2019/12/01 02:50:09	Plate Move - Imager to Stage	11275		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	0 minute
2019/12/01 02:49:31	Plate Move - Storage to Stage	11049		96 Well MRC, 2 Drop	Plate Movement		GSc006 His-324S	JCSG Core IV-02-Nov-19	ethompson	Fraser	0 minute
2019/12/01 02:42:58	Plate Inspection (Scheduled)	11275	109338	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	6.9 minutes
2019/12/01 02:42:14	Plate Move - Imager to Stage	11280		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	0 minute
2019/12/01 02:41:29	Plate Move - Storage to Stage	11275		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	0 minute
2019/12/01 02:33:39	Plate Inspection (Scheduled)	11280	109337	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	8.4 minutes
2019/12/01 02:32:50	Plate Move - Imager to Stage	11282		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	0 minute
2019/12/01 02:32:06	Plate Move - Storage to Stage	11280		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	0 minute
2019/12/01 02:23:58	Plate Inspection (Scheduled)	11282	109334	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	8.5 minutes
2019/12/01 01:10:24	Plate Move - Imager to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 01:09:49	Plate Move - Storage to Stage	11282		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	0 minute
2019/12/01 00:59:10	Plate Inspection (Scheduled)	11278	109333	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	11 minutes
2019/12/01 00:58:36	Plate Move - Storage to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 00:57:50	Plate Move - Load Port to Stage	11275		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt1	rashed	Minor	0 minute
2019/12/01 00:57:34	Plate Move - Load Port to Stage	11278		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt2_4	rashed	Minor	0 minute
2019/12/01 00:56:42	Plate Move - Load Port to Stage	11280		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Kv7Opt3_4	rashed	Minor	0 minute
2019/12/01 00:56:26	Plate Move - Load Port to Stage	11282		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGT-Kv7Opt4_4	rashed	Minor	0 minute
2019/11/30 09:05:48	Plate Move - Imager to Stage	11178		96 Well Greiner Hanging, 1 Drop	Plate Movement		Trek-1_I110D-N147D	Tray02_DD_400/180nL_5mgml	abhisek	Minor	0 minute
2019/11/30 08:56:59	Plate Inspection (Scheduled)	11178	109304	96 Well Greiner Hanging, 1 Drop	Visible		Trek-1_I110D-N147D	Tray02_DD_400/180nL_5mgml	abhisek	Minor	8.5 minutes
